"sampleID","read_count","un_f","g__[Clostridium]","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__02d06","g__1-68","g__Abiotrophia","g__Acidaminococcus","g__Acinetobacter","g__Actinobacillus","g__Actinomyces","g__Actinomycetospora","g__Adlercreutzia","g__AF12","g__Aggregatibacter","g__Agrobacterium","g__Agromyces","g__Akkermansia","g__Alistipes","g__Anaerococcus","g__Anaerofilum","g__Anaerofustis","g__Anaerorhabdus","g__Anaerostipes","g__Anaerotruncus","g__Aquabacterium","g__Arthrobacter","g__Atopobium","g__Bacillus","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blastomonas","g__Blautia","g__Brachybacterium","g__Bradyrhizobium","g__Brevibacterium","g__Brevundimonas","g__Brochothrix","g__Bulleidia","g__Butyricicoccus","g__Butyricimonas","g__Butyrivibrio","g__Campylobacter","g__Catenibacterium","g__cc_115","g__Cetobacterium","g__CF231","g__Christensenella","g__Chryseobacterium","g__Citrobacter","g__Cloacibacillus","g__Cloacibacterium","g__Clostridium_f__Clostridiaceae","g__Clostridium_f__Erysipelotrichaceae","g__Clostridium_f__Lachnospiraceae","g__Clostridium_f__Ruminococcaceae","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprococcus","g__Corynebacterium","g__Cupriavidus","g__Dechloromonas","g__Defluviitalea","g__Dehalobacterium","g__Delftia","g__Desulfobulbus","g__Desulfovibrio","g__Devosia","g__Dialister","g__Dietzia","g__Dorea","g__Eggerthella","g__Enhydrobacter","g__Enterococcus_f__Coriobacteriaceae","g__Enterococcus_f__Enterococcaceae","g__Epulopiscium","g__Erythrobacter","g__Escherichia","g__Faecalibacterium","g__Finegoldia","g__Flavobacterium","g__Fusobacterium","g__Granulicatella","g__Haemophilus","g__Halomonas","g__Herbaspirillum","g__Holdemania","g__Hydrogenophaga","g__Hylemonella","g__Hyphomonas","g__Janibacter","g__Janthinobacterium","g__Klebsiella","g__Kocuria","g__Lachnobacterium","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leuconostoc","g__Limnohabitans","g__Lupinus","g__Luteimonas","g__Megamonas","g__Megasphaera","g__Meiothermus","g__Methylobacterium","g__Methylotenera","g__Microbispora","g__Micrococcus","g__Mitsuokella","g__Mobiluncus","g__Mogibacterium","g__Morganella","g__Moryella","g__Mycoplana","g__Neisseria","g__Novosphingobium","g__Oceanobacillus","g__Ochrobactrum","g__Odoribacter","g__Oribacterium","g__Oscillospira","g__Oxalobacter","g__p-75-a5","g__Paludibacter","g__Pantoea","g__Parabacteroides","g__Paracoccus","g__Paraprevotella","g__Parvimonas","g__Pedobacter","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcus","g__ph2","g__Phascolarctobacterium","g__Phycicoccus","g__Planomicrobium","g__Porphyromonas","g__Prauserella","g__Prevotella","g__Proteiniclasticum","g__Pseudidiomarina","g__Pseudobutyrivibrio","g__Pseudoclavibacter","g__Pseudomonas","g__Pseudonocardia","g__Psychrobacter","g__Pyramidobacter","g__Ralstonia","g__rc4-4","g__Rheinheimera","g__Rickettsiella","g__Roseburia","g__Rothia","g__Ruminococcus","g__Saccharopolyspora","g__Sanguibacter","g__Scardovia","g__Sediminibacterium","g__Selenomonas","g__Sharpea","g__Shinella","g__Shuttleworthia","g__Slackia","g__SMB53","g__Sphingobium","g__Sphingomonas","g__Sphingopyxis","g__Sporobacter","g__Sporosarcina","g__Staphylococcus","g__Stenotrophomonas","g__Streptococcus","g__Succinatimonas","g__Succinivibrio","g__Sutterella","g__Synergistes","g__Thauera","g__Thermicanus","g__Thermomonas","g__Thermus","g__Turicibacter","g__un_c__Clostridia","g__un_c__TM7-3","g__un_f__[Barnesiellaceae]","g__un_f__[Cerasicoccaceae]","g__un_f__[Mogibacteriaceae]","g__un_f__[Paraprevotellaceae]","g__un_f__[Tissierellaceae]","g__un_f__[Weeksellaceae]","g__un_f__Bacillaceae","g__un_f__Bacteroidaceae","g__un_f__Caulobacteraceae","g__un_f__Chitinophagaceae","g__un_f__Christensenellaceae","g__un_f__Clostridiaceae","g__un_f__Comamonadaceae","g__un_f__Coriobacteriaceae","g__un_f__Cyclobacteriaceae","g__un_f__Dehalobacteriaceae","g__un_f__Desulfovibrionaceae","g__un_f__Ellin6075","g__un_f__Elusimicrobiaceae","g__un_f__Enterobacteriaceae","g__un_f__Erysipelotrichaceae","g__un_f__EtOH8","g__un_f__Fusobacteriaceae","g__un_f__Gemellaceae","g__un_f__Geodermatophilaceae","g__un_f__Intrasporangiaceae","g__un_f__Lachnospiraceae","g__un_f__Lactobacillaceae","g__un_f__Leuconostocaceae","g__un_f__Methylobacteriaceae","g__un_f__Micrococcaceae","g__un_f__mitochondria","g__un_f__Moraxellaceae","g__un_f__Nakamurellaceae","g__un_f__Nocardiopsaceae","g__un_f__Oxalobacteraceae","g__un_f__Paenibacillaceae","g__un_f__Peptococcaceae","g__un_f__Peptostreptococcaceae","g__un_f__Phyllobacteriaceae","g__un_f__Porphyromonadaceae","g__un_f__Prevotellaceae","g__un_f__Pseudomonadaceae","g__un_f__Rhizobiaceae","g__un_f__Rhodobacteraceae","g__un_f__Rhodocyclaceae","g__un_f__Rikenellaceae","g__un_f__Ruminococcaceae","g__un_f__S24-7","g__un_f__Sinobacteraceae","g__un_f__Sphingomonadaceae","g__un_f__Staphylococcaceae","g__un_f__Streptomycetaceae","g__un_f__Synergistaceae","g__un_f__Veillonellaceae","g__un_f__Victivallaceae","g__un_f__Xenococcaceae","g__un_o__Bacteroidales","g__un_o__Clostridiales","g__un_o__EW055","g__un_o__IS-44","g__un_o__ML615J-28","g__un_o__MLE1-12","g__un_o__RF32","g__un_o__RF39","g__un_o__Rhizobiales","g__un_o__SHA-98","g__un_o__Sphingobacteriales","g__un_o__Streptophyta","g__un_o__YS2","g__un_p__Bacteroidetes","g__Veillonella","g__Victivallis","g__WAL_1855D","g__Weissella","g__YRC22"
"G441502228",9998,0,52,149,18,70,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,267,0,0,2,0,0,117,55,0,1,31,0,20,0,1,0,0,14,1,0,0,5,0,0,54,0,0,20,0,0,953,0,0,0,9,0,0,344,0,0,0,0,0,1,0,2,1,35,0,8,0,0,0,0,3,0,1536,930,0,0,2,12,118,3,8,5,0,0,0,0,1,134,0,8,387,32,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,75,0,0,0,0,20,0,5,0,0,1,0,0,0,6,0,0,0,0,979,0,0,0,0,2,0,0,0,237,0,0,0,1015,0,186,1,0,0,234,0,0,0,0,4,303,0,1,0,1,0,0,0,110,0,0,5,0,0,0,0,0,24,0,0,0,0,5,0,0,0,0,0,23,0,0,22,0,24,0,0,0,0,0,0,95,0,0,2,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,495,42,0,0,0,0,0,0,1,0,0,218,0,0,0,0,0,119,0,0,0,0,0,0,77,0,0,0,4
"G440981472",9999,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,23,0,0,0,2,0,551,2,3,0,16,0,5,0,0,0,0,13,8,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,25,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,709,0,0,2,0,64,0,2,2,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,65,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,0,0,0,0,12,0,0,0,0,0,0,0,0,25,0,0,0,0,5161,0,0,0,1,2,0,1,0,60,0,0,0,385,0,1984,0,0,0,53,0,0,0,0,0,64,0,0,0,0,0,2,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,182,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,217,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,0,0,0,0,53,0,0,0,0
"G440205324",9999,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,356,0,0,0,0,0,1001,5,3,1,17,0,4,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,11,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,207,0,0,1,0,0,0,0,0,5422,517,0,0,0,1,8,1,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,303,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,912,0,30,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,50,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,27,0,0,271,0,0,0,0
"G445302253",9999,0,0,2,0,615,0,0,0,282,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3021,56,11,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,87,0,5,5,0,0,0,0,0,499,13,0,0,111,0,1,0,0,1,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,3,87,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,71,0,0,0,0,0,0,0,0,14,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,1,0,17,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,4089,0,0,0,0
"G441502371",9994,8,0,270,143,87,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,78,0,0,0,0,0,170,3,0,0,24,0,14,0,0,0,0,10,0,0,0,279,0,0,0,0,0,0,0,0,10,16,2,0,13,0,0,339,0,0,0,3,2,0,0,51,0,13,0,48,0,0,0,0,0,0,16,1263,0,0,5,0,0,1,0,4,0,0,0,0,0,18,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,440,0,1,0,0,14,0,6,0,0,0,0,0,0,154,0,0,0,0,1516,0,0,15,0,1,0,0,0,130,0,2,0,834,0,87,0,0,0,36,0,0,0,0,10,46,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,11,0,0,2,0,67,2,0,0,0,0,11,0,9,4,7,16,2,0,1,0,0,0,23,0,0,0,0,0,357,0,0,0,2,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,10,646,41,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,1979,3,0,0,0,0,0,2,0,0,0,0
"G440883606",9995,0,0,5,1,8,0,0,0,18,3,0,0,0,0,0,0,0,0,1,51,0,0,0,0,4,0,0,0,0,0,2393,0,0,0,10,0,12,0,0,0,0,0,11,0,0,0,0,6,0,0,2,0,0,0,0,0,15,0,0,0,39,49,0,0,0,0,3,0,0,12,0,46,0,2,0,0,0,0,0,0,4897,127,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,2,131,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,229,4,0,0,0,38,0,0,0,0,0,0,0,0,11,0,0,0,0,52,0,0,0,0,2,0,0,20,107,0,0,0,125,0,41,0,0,0,114,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0,7,0,1,98,0,0,0,2,31,0,31,2,4,6,0,0,0,0,0,0,5,0,0,1,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,435,56,0,0,0,0,1,0,0,0,0,406,0,0,0,0,0,5,5,0,0,2,0,0,8,0,0,0,0
"G441284185",9998,0,0,15,0,58,0,0,0,7,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2539,10,1,1,9,2,14,2,1,1,13,2,0,0,0,0,0,0,0,0,4,0,0,0,1,32,26,0,0,4,55,64,0,0,0,4,0,0,0,0,9,26,1,22,2,0,0,0,0,0,1318,91,0,0,79,4,1,0,5,94,0,0,0,0,0,23,0,0,2,6,0,0,0,0,0,2,0,3977,7,0,2,0,0,0,0,0,0,1,1,2,0,0,0,2,0,2,223,0,0,0,0,7,0,0,0,0,0,5,0,0,190,0,2,27,0,39,0,2,0,0,6,0,14,0,30,0,0,0,12,0,35,0,2,0,5,0,0,0,0,0,189,0,4,0,0,0,3,0,11,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,122,0,0,0,0,0,206,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,49,2,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,208,0,11,0,0
"G441502352",9985,4,0,345,16,110,21,0,0,0,3,0,0,0,3,0,0,0,0,64,0,0,0,0,0,9,0,0,0,7,0,125,7,0,0,168,0,96,0,0,0,89,9,10,2,0,0,0,0,2,0,0,0,0,0,153,2,0,0,11,0,0,90,0,0,0,5,3,0,2,2,2,7,0,126,0,0,0,0,0,0,86,1007,0,0,4,0,0,7,6,0,0,0,0,0,0,3,0,30,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,2,1145,0,948,0,0,2,0,2,0,0,0,0,0,0,11,0,0,0,0,166,0,2,16,0,2,0,0,0,579,0,0,0,416,0,483,0,0,0,440,0,0,0,0,24,133,0,8,0,0,0,0,0,52,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,53,3,69,0,4,36,0,0,0,0,2,0,149,0,0,5,0,2,124,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,0,0,0,0,8,1344,399,5,0,0,0,0,0,0,0,0,463,0,0,0,0,0,140,3,0,0,0,0,0,10,0,0,0,3
"G441303188",9998,0,0,11,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,0,95,1403,0,1,43,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,124,0,2,0,0,0,0,16,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,3,0,0,3363,275,0,0,1,14,25,0,3,5,2,0,0,0,0,438,0,0,12,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,9,0,3,0,0,1,1,5,0,354,0,0,0,10,2,622,0,0,0,457,0,0,0,0,0,1078,0,4,0,0,2,0,0,461,0,0,5,0,0,0,0,0,36,0,0,0,0,2,0,0,0,0,0,93,0,0,8,3,2,0,0,0,4,0,0,32,0,0,1,0,2,172,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,3,0,615,0,0,0,4,0,2,8,0,0,0,0,0,4,0,0,0,0
"G441502517",9999,0,0,11,0,62,0,0,0,0,3,0,3,0,2,0,0,0,0,4,37,0,4,0,0,52,2,0,0,7,0,1855,4,364,0,42,0,40,0,0,0,0,104,57,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,0,0,26,2,0,0,0,0,1,0,0,0,30,0,16,4,0,0,1,0,0,6,1384,0,0,1,4,8,1,2,55,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,0,0,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,575,0,0,0,0,219,0,265,0,0,0,0,0,0,266,0,0,0,0,1585,0,0,1,0,7,0,0,0,269,0,1,0,410,2,159,0,0,1,311,0,0,0,0,0,39,0,3,0,0,0,0,0,72,0,0,14,0,0,0,0,0,1,0,0,16,0,69,11,0,0,0,0,59,1,0,0,5,62,0,0,2,0,0,0,339,0,0,1,1,0,480,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158,175,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,11,0,0,9,0,0,6,0,0,0,0
