#mpa_v31_CHOCOPhlAn_201901															
clade_name	CZ1_F006B_1	CZ1_F006B_2	CZ1_F064B_1	CZ1_F064B_2	CZ1_F064B_3	CZ2_F006B_1	CZ2_F006B_2	CZ2_F064B_1	CZ2_F064B_2	CZ2_F064B_3	ZT1_F006B_1	ZT1_F006B_2	ZT1_F064B_1	ZT1_F064B_2	ZT1_F064B_3
k__Bacteria	100	19.17793	100	100	100	85.86983	15.82235	100	100	100	100	5.42155	100	100	100
k__Bacteria|p__Firmicutes	99.97235	0.31513	0	0.08022	2.87906	35.90135	0	0	0.12639	2.57038	99.95935	4.73604	0.0776	0.09544	1.78881
k__Bacteria|p__Proteobacteria	0.02765	18.8628	100	99.91978	96.17653	49.91307	15.82235	100	99.87361	96.19695	0.03064	0.57306	99.91756	99.90267	97.91026
k__Bacteria|p__Firmicutes|c__Clostridia	99.71409	0.31513	0	0.00581	0.00303	0.01618	0	0	0	0	99.56845	0	0.00606	0.00061	0.00075
k__Bacteria|p__Firmicutes|c__Bacilli	0.25826	0	0	0.07442	2.87603	35.88517	0	0	0.12639	2.57038	0.3909	4.73604	0.07155	0.09483	1.78806
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.02765	15.51553	100	99.91978	96.17653	47.13655	13.44207	100	99.8402	96.19553	0.03064	0.4573	99.91756	99.90267	97.91026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	99.71409	0.31513	0	0.00581	0.00303	0.01618	0	0	0	0	99.56845	0	0.00606	0.00061	0.00075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.25826	0	0	0	0	0	0	0	0	0	0.3909	4.73604	0.07155	0.05417	0.03299
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.02765	15.51553	100	99.91978	96.17653	47.11404	13.3973	99.98892	99.8402	96.19321	0.03064	0	99.91756	95.55046	97.91026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	99.71409	0.31513	0	0.00581	0.00303	0.01618	0	0	0	0	99.56845	0	0.00606	0.00061	0.00075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.25826	0	0	0	0	0	0	0	0	0	0.3909	2.14452	0.07155	0.04422	0.03299
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.02765	15.46457	87.74538	80.20727	92.60202	47.11404	13.3973	93.10803	93.86484	93.09083	0.03064	0	90.44194	95.54855	96.78196
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	99.71409	0.31513	0	0.00581	0.00303	0.01618	0	0	0	0	99.56845	0	0.00606	0.00061	0.00075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.25826	0	0	0	0	0	0	0	0	0	0.3909	2.14452	0.07155	0.04422	0.03299
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	0.02003	13.76983	0.01133	0.03559	0.02523	46.39843	13.3973	0	0.14239	0.07975	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.00761	1.69474	87.73405	80.17168	92.39077	0.71562	0	93.10803	93.72246	92.81611	0.03064	0	90.44194	95.51225	96.34268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale	99.71409	0.31513	0	0.00581	0.00303	0.01618	0	0	0	0	99.56845	0	0.00606	0.00061	0.00075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis	0.19312	0	0	0	0	0	0	0	0	0	0.2033	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.05104	0	0	0	0	0	0	0	0	0	0.08476	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0.01735	10.85476	0.01133	0.03559	0.02523	37.46288	11.03522	0	0.11582	0.07117	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus	0.01411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.00761	1.69474	87.73405	80.17168	92.39077	0.71562	0	93.10803	93.72246	92.81611	0.03064	0	90.44194	95.51225	96.34268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0.00269	0.70019	0	0	0	3.55943	1.09515	0	0.0031	0.00303	0	0	0	0	0
k__Eukaryota	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Eukaryota|p__Ascomycota	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	2.06763	0	0	0	2.17379	1.5669	0	0.02363	0.00143	0	0.11576	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	1.27965	0	0	0	0.60273	0.81339	0	0.00978	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	2.06763	0	0	0	2.15601	1.5669	0	0.02363	0.00143	0	0.11576	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0	1.16911	0	0	0	0.50174	0.81339	0	0.00978	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0	0.11054	0	0	0	0.08339	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	2.06763	0	0	0	2.15601	1.5669	0	0.02363	0.00143	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0	1.16911	0	0	0	0.50174	0.81339	0	0.00978	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0	0.11054	0	0	0	0.08339	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	0	0.05096	12.25462	19.71251	3.57451	0	0	6.88089	5.97536	3.10238	0	0	9.47562	0.00191	1.1283
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter	0	2.06763	0	0	0	2.15601	1.5669	0	0.02363	0.00143	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	0	1.16911	0	0	0	0.43654	0.81339	0	0.00978	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0	0.08985	0	0	0	0.05431	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	0	0.05096	12.25462	19.71251	3.57451	0	0	6.88089	5.97536	3.10238	0	0	9.47562	0.00191	1.1283
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium	0	0.02069	0	0	0	0.02143	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_albicans	0	80.82207	0	0	0	14.11441	84.17765	0	0	0	0	94.57845	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0	2.21488	0	0	0	5.37612	1.26693	0	0.02346	0.00555	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter|s__Curvibacter_sp	0	2.06763	0	0	0	2.15601	1.5669	0	0.02363	0.00143	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp_FWC26	0	1.15392	0	0	0	0.38903	0.81339	0	0.00978	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_paucimobilis	0	0.08985	0	0	0	0.04629	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	0	0.05096	12.25462	19.71251	3.57451	0	0	6.88089	5.97536	3.10238	0	0	9.47562	0.00191	1.1283
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_B1	0	0.02069	0	0	0	0.02143	0	0	0	0	0	0	0	0	0
